"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
32, 7.408769131000000e-01, -4.385458826000000e-01, 8.964742822867199e-01, -8.278093001001338e-01, 3.498261642076414e-02, 1.921465517068231e-02, -0.000000000000000e+00
4570, 7.338102049661305e-01, -4.419646909581082e-01, 8.962940466261897e-01, -8.355989220899362e-01, 3.826664894146922e-02, 2.016049510206658e-02, -0.000000000000000e+00
33, 7.269952297000000e-01, -4.458593427000000e-01, 8.961308288879924e-01, -8.426530448914257e-01, 4.492138287311030e-02, 2.287030137071757e-02, -0.000000000000000e+00
4504, 7.198364916823130e-01, -4.490789651328733e-01, 8.959497097413645e-01, -8.504808503501108e-01, 4.844004277468080e-02, 2.359971152690523e-02, -0.000000000000000e+00
34, 7.128896713000000e-01, -4.527314900000000e-01, 8.957843573967231e-01, -8.576272289085755e-01, 5.581579342983051e-02, 2.624643526116360e-02, -0.000000000000000e+00
4440, 7.056451101902421e-01, -4.557522228742755e-01, 8.956036440329094e-01, -8.654374968015892e-01, 5.962504994170780e-02, 2.676261849902202e-02, -0.000000000000000e+00
35, 6.985738873000000e-01, -4.591571092000000e-01, 8.954371438107585e-01, -8.726334855862659e-01, 6.767337176956820e-02, 2.926697592825713e-02, -0.000000000000000e+00
4261, 6.912493802776827e-01, -4.619780022288966e-01, 8.952581842485624e-01, -8.803679557619639e-01, 7.183302548633751e-02, 2.957037309384148e-02, -0.000000000000000e+00
36, 6.840623021000000e-01, -4.651308655000000e-01, 8.950916685123889e-01, -8.875646150486457e-01, 8.049235863152386e-02, 3.185247134762478e-02, -0.000000000000000e+00
4671, 6.766630372381603e-01, -4.677501162734098e-01, 8.949158359417803e-01, -8.951639394803781e-01, 8.506057035018773e-02, 3.193864589330896e-02, -0.000000000000000e+00
37, 6.693689823000000e-01, -4.706479310000000e-01, 8.947508118812059e-01, -9.022961298988313e-01, 9.426184438028422e-02, 3.392128815484640e-02, -0.000000000000000e+00
5036, 6.619000839533073e-01, -4.730627472290670e-01, 8.945796690663713e-01, -9.096927673340119e-01, 9.928966528268691e-02, 3.377775366220159e-02, -0.000000000000000e+00
38, 6.545084715000000e-01, -4.757033884000000e-01, 8.944175965495675e-01, -9.166973947042215e-01, 1.089623384939299e-01, 3.539086461943882e-02, -0.000000000000000e+00
5050, 6.469750869550976e-01, -4.779103721562669e-01, 8.942525101242423e-01, -9.238322804707143e-01, 1.144957736022821e-01, 3.500004780326257e-02, -0.000000000000000e+00
39, 6.394956112000000e-01, -4.802926480000000e-01, 8.940952976359317e-01, -9.306268618116892e-01, 1.245672426343100e-01, 3.617902665482953e-02, -0.000000000000000e+00
4437, 6.319027308749053e-01, -4.822879529780340e-01, 8.939381048754241e-01, -9.374205905348807e-01, 1.306389145552667e-01, 3.551406703326146e-02, -0.000000000000000e+00
